firstName,middleName,lastName,suffix,aliasFirstName,aliasMiddleName,aliasLastName,aliasSuffix,dob,pobCountry,pobState,pobCity,pobCounty,sex,race,ssn,hairColor,eyeColor,height,weight,street1,street2,city,state,postalCode,country,homeTelephone,businessTelephone,mobileTelephone,pagerTelephone,faxTelephone,email,citizenship,naturalizationDate,passportCountry,passportNumber,passportType,visaNumber,visaType,visaClassOfAdmissionClassificationCode,birthAbroadCertificationId,certificateOfCitizenshipNumber,alienNumber,i94ArrivalDepartureFormNumber,certificateOfNaturalizationNumber,ds1350CertificationOfBirthAbroad,citizenshipCertificateId,admissionId,employerName,employerStreet1,employerStreet2,employerCity,employerState,employerPostalCode,employerCountry,employerEmail,employerTelephone,employerPOC,caseProgram,caseSubprogram,airportCode,fingerprintFileName,fingerprintCaseNumber,badgeId,badgeIssueDate,badgeExpirationDate,badgeAirportCode,badgeLocalType,badgeArea,badgeAccessSIDA,badgeAccessSterileArea,badgeAccessAOA,badgeAccessSecured,badgeAccessPublicArea,badgeAccessRT,badgeStatus,badgeChangeReason 
LUTHER,DERICK,THAVICHITH,,NIGEL,,RICHART,IV,06/26/2002,USA,IL,Bloomington,,M,B,461848166,BRO,BLK,43,175,2335 OLD GALLIVAN PLACE,,Hattiesburg,SD,97560,GNB,914-445-2442,2429233733,7736751895,3525286648,7433562523,LUTHER.THAVICHITH2002@LFHW.EDU,GMB,,GMB,3586748508,M,JSOAHDL,E22,AUGH61RBAJ,PVL7LPFN5Q,VZUAQ5DU,A838307935,42696665455,0MI9OVY09,CN5JB2,NNMQSE5LJ8,UIQFITFI,Sansa Regional,8339 KEANE STREET,APT 449,Greenwood,FL,84180,SUR,LESLEY TYDEMAN@Sansa Regional.EDU,(884)7138935,LESLEY TYDEMAN,AW,FPO,HYA,LUTHER_THAVICHITH_BK55MQ.eft,,313AA,06/25/2000,06/25/2001,SCD,Yellow,Terminal 2,True,True,True,True,False,True,R,Expired
CHERYLL,,SONDELSKI,,MARIS,,JASKOLKA,SR,11/25/1931,USA,NC,Oakland Park,Ankeny county,F,U,646569191,SDY,BLK,57,510,3532 CLIFTON HIGHWAY,APARTMENT 82,Winter Park,WV,44388-5315,PCN,(803)7927101,977-647-7532,3929167937,(356)4619883,558-727-3097,CHERYLL.SONDELSKI1931@KISU.GOV,USA,,USA,8021573276,D,,,4EK8VP85BJ,,,,,,,,,Aperature Science Laboratory,4037 ELMHURST,,Pacifica,MS,55047,RWA,RODOLFO KELTZ@Aperature Science Laboratory.ORG,939-996-5551,RODOLFO KELTZ,ACP,FPO,CHS,CHERYLL_SONDELSKI_NG4PCI.eft,,HXN2L,03/21/2010,03/21/2011,PKN,Yellow,Ticketting,False,False,True,True,True,True,S,Employer Direction
MAIRE,ESPERANZA,ARAUJO,IX,LENORE,YOUNG,MCQUIRTER,JR,07/26/1967,KWT,,,,F,U,585019995,BLN,BLU,85,628,942 EL AZUL PL,SUITE 173,Syracuse,NE,69828-4586,IRL,(847)7756115,719-544-8011,(629)5902878,5264092813,9305788746,MAIRE.ARAUJO1967@KQAD.GOV,USA,07/27/1989,USA,5740500931,M,UGR5YGS,I,UYQAEJSAVZ,9MSC0EVNYA,DXY0F14R,,,H9NXLS7IX,ORAUXB,64ZUN4L68I,U7QF0QA8,Smarte Carte,7294 ASHBURN FARM ST,,Calumet,WV,46408-7987,URY,STACEY BUMBREY@Smarte Carte.NET,9883474781,STACEY BUMBREY,GA,TFS-FP,KGK,,,,,,,,,,,,,,,,
CHARLEY,LAVERNE,NICOLA,,BARRY,,NAN,II,10/25/1973,OMN,,,,M,A,454335848,PNK,PNK,28,1112,1564 SCIENTIFIC,,Detroit,KS,73751-8930,TZA,5816646749,222-462-3305,(230)6126742,221-730-9191,289-896-5878,CHARLEY.NICOLA1973@XASG.CO.UK,BVT,,USA,4940563844,M,,,V145A2GOX3,,,A759881492,86443174843,,,,,Reckitt Benckiser Group,9875 AMBERVIEW PL,,Westerville,NC,75875,SAU,EMMANUEL OSISEK@Reckitt Benckiser Group.ORG,(720)2322805,EMMANUEL OSISEK,ACP,FPO,BYA,CHARLEY_NICOLA_DVLP94.eft,,,,,,,,,,,,,,,
LELAND,RANDAL,DECARLO,VIII,EZEQUIEL,,GILLIE,V,03/21/1961,USA,FL,Pinellas Park,,M,U,556219646,BLU,MUL,48,1214,5831 MARTINEZ ST,,Blacksburg,SD,96582,HTI,2336096590,207-523-6129,221-644-3795,(712)6890171,6398248891,LELAND.DECARLO@XUPU.CO.UK,USA,,ECU,6104141792,M,WFZG25R,TN,ZDG5BAD3MT,AC3R5B3CZR,U9TMCULF,,,WNF7OWQI9,14XS2E,JK7U42WE05,EVOF1SAJ,Activision Blizzard,2234 DUMAINE BLVD,,Fontana,KS,94868-6312,SMR,CLAUDE WICKUS@Activision Blizzard.GOV,5052348699,CLAUDE WICKUS,GA,DCM-PFP,TLT,,FAKE542793,,,,,,,,,,,,,,
VALENTINE,,BRUMMER,VI,GALE,,LABBIE,,02/26/1966,USA,AZ,Big Spring,,M,U,648502881,BRY,BLK,37,705,1548 26TH HIGHWAY,SUITE # 367,Keizer,WA,91614-3265,MMR,(474)9912880,897-534-9196,(845)9003278,(831)6266789,8055315089,VALENTINE.BRUMMER1966@HBYE.NET,USA,,PSE,7381109490,P,4RE7ZWK,E-1,F3KRN5C4SL,J443HY2GGC,GP7VZ8J2,,,HY7XBAPWA,4RPH4Q,4R8QX8A19K,46CJEOQG,HTC Corp,8355 BLYTHWOOD STREET,ROOM 118,San Ramon,CT,57989-4779,IND,NEVILLE MARSEILLE@HTC Corp.EDU,274-488-8024,NEVILLE MARSEILLE,AW,FPO,SEA,VALENTINE_BRUMMER_TRGJW6.eft,,F36D3,10/25/2003,10/25/2004,FZP,Contractor,Baggage Handling,True,True,False,True,False,True,R,Deceased
SHANE,MARX,GUARDIOLA,,CONCEPTION,,RIMANDO,VI,07/21/1993,BRB,,,,F,B,458213918,ONG,XXX,97,262,4250 CHESTER,,Garfield,CO,35976,BTN,(472)2189537,(542)9679380,688-638-2773,(747)7088035,(759)7650107,SHANE.GUARDIOLA@EMOL.NET,USA,,USA,2701093628,P,N3C4B6M,V-1,59U7JY4W63,39B5NECJ6B,OMZODFK4,,,2P05XJSYN,UTCX6B,UTO6XX9ELN,7C3PF7IJ,Burger King,8979 CRUDEN BAY,SUITE 278,Morgantown,NC,61681,BIH,TRENT BABIRACKI@Burger King.CO.UK,6873471244,TRENT BABIRACKI,AW,FPO,YIO,SHANE_GUARDIOLA_SGR7JZ.eft,,,,,,,,,,,,,,,
IRVING,,SUL,,SCOTTIE,JONAH,BAGGETTE,,04/27/1999,USA,FL,Spokane Valley,Brownsville county,M,A,458402625,BLK,BLU,38,390,9918 SUMMIT KNOLL,SUITE 337,Woodridge,CA,52678,TUV,4172078741,545-510-6551,(628)8824623,753-822-9578,8768472766,IRVING.SUL1999@RTXR.GOV,USA,,USA,9121807979,M,,,3O161H0MIX,,,,,,,,,Delta Airlines,4992 HOLLYWOOD PARK RD,,Elmira,OK,56261-4227,CZE,DAVIS SETTY@Delta Airlines.NET,880-741-3038,DAVIS SETTY,GA,PCS-FP,YGW,,,,,,,,,,,,,,,,
NATHANIAL,WILFORD,HOLLER,,ELIJAH,JULIUS,RECHKEMMER,,06/22/1992,VCT,,,,M,I,269675592,BRO,BLK,78,155,6147 LANSING RD,SUITE # 465,Westlake,OH,33269,ETH,(391)3540200,570-522-8870,946-559-9394,(403)7721088,657-723-6257,NATHANIAL.HOLLER@AVTU.COM,USA,,SDN,4749592750,P,O802CJR,IR-1,LHXJGNGGYE,XVZP2NK5L1,WI0DCZTM,,,1REC9CVYZ,78QYY7,1X1X96BITU,UVVGCF9L,Burger King,2936 PICCADILLY CIRCUS HIGHWAY,OFFICE # 84,Sioux,VA,52810-8864,FLK,ETHAN GULLION@Burger King.NET,874-636-2245,ETHAN GULLION,GA,MDW-FP,YHZ,,,,,,,,,,,,,,,,
ANNIS,KATRINA,TALMAN,,BERNARDINA,ROLANDE,DICKERSON,,02/21/1999,USA,ID,Newark,La Verne county,F,I,533489582,BLK,BRO,106,1285,98 STONEHILL BOULEVARD,ROOM # 81,Denton,OH,85904,MDA,298-204-2398,408-969-3239,(564)7624576,604-320-4343,(332)7508408,ANNIS.TALMAN1999@APSO.ORG,PRT,,USA,5981691935,P,,,AMJ80SS987,,,A854776938,57790053399,,,,,Spanair,8749 BONLEE HIGHWAY,ROOM # 318,Elyria,GA,27916-3920,EGY,LUIS JAMEEL@Spanair.GOV,308-653-9786,LUIS JAMEEL,ACP,FPO,YUT,ANNIS_TALMAN_U7MGWN.eft,,PVN9M,11/26/2008,11/26/2009,EQY,Black,Tarmac,False,True,True,False,True,True,A,
CARLIE,TERA,HARTFIEL,II,MITZI,,FRIEDLANDER,II,06/21/1925,USA,IL,Strongsville,,F,U,639109127,BLU,BLK,73,485,3518 PALLADIAN ROAD,OFFICE 404,Apopka,VT,93708,YEM,(752)4827304,3319363915,923-720-8642,319-997-4804,385-569-9264,CARLIE.HARTFIEL1925@SBAC.COM,TLS,,USA,9443975444,M,,,QHSVBGAV7X,,,A554571545,54385818672,,,,,ConAgra Foods,731 WILDROSE,OFFICE # 188,Vestavia Hills,MD,54947-3819,BHR,LOUIS GERS@ConAgra Foods.COM,404-326-5558,LOUIS GERS,GA,DCM-PFP,EUE,,FAKE991413,,,,,,,,,,,,,,
JERMAINE,,HENGEL,JR,JEROLD,,SPRYGADA,JR,09/22/1980,USA,SC,Dania Beach,Union county,U,B,615833463,GRN,MAR,56,1370,3534 WORLD WOODS PLACE,,Lewisville,CA,70525,CYM,255-500-4793,(662)7571326,549-753-6083,6215334407,791-595-4151,JERMAINE.HENGEL@MCQX.COM,USA,,USA,3171895841,M,,,YNP8DW02L1,,,,,,,,,Agilent Technologies,830 LA BELLE HIGHWAY,APARTMENT # 319,Newport Beach,NJ,89506,LAO,LYLE MEHARRY@Agilent Technologies.ORG,2435783501,LYLE MEHARRY,GA,MDW-FP,YNE,,,,,,,,,,,,,,,,
GERARDO,MALCOLM,BRUTSCH,,JULIAN,,EMERU,,08/21/1971,USA,IA,Easton,,U,A,220808400,RED,MUL,90,964,2392 HORNBEAM PLACE,,Walnut Creek,AZ,83932,NCL,4146324609,310-831-8806,(450)5272325,8638947824,3115388894,GERARDO.BRUTSCH@NGIQ.COM,SLV,,USA,9406693671,M,,,Q9UYSUVR1Y,,,A436245947,83536793708,,,,,Indian Airlines,8104 CLEARNIGHT PLACE,,Rochester,PA,25723,TLS,LEON BRUGLIERA@Indian Airlines.EDU,(445)5337578,LEON BRUGLIERA,GA,PCS-PFP,OOK,,FAKE597736,,,,,,,,,,,,,,
BELLA,ILENE,MCSWEEN,,LAVONNA,CAREN,ZUCCONI,,02/23/1942,USA,NJ,College Station,,F,B,332071395,WHI,BLK,67,863,6631 BUTTONWOOD HWY,,Santa Ana,OR,49520,TWN,(560)4070192,2909941833,630-324-5952,3514063439,(404)3331152,BELLA.MCSWEEN1942@LJIL.NET,USA,,USA,2670338663,M,,,43MIM4N31J,,,,,,,,,Avon Products,2478 BLAIR PARK PL,,Bell,KS,67851,AIA,LEROY MCCORKINDALE@Avon Products.COM,612-350-8260,LEROY MCCORKINDALE,AW,FPO,ELV,BELLA_MCSWEEN_N7AQ1N.eft,,TZEJZ,02/26/2003,02/26/2004,MPV,Contractor,Concourse A,False,True,False,False,True,False,A,
VANCE,,HELGREN,,LUIS,CHARLEY,ANAND,IV,10/26/1946,USA,NC,Sterling Heights,Cottage Grove county,M,B,634508757,BLN,BLK,55,841,3457 ACCORD BOULEVARD,,Southfield,CO,71974-9680,PAK,2164812328,621-206-5356,561-828-3065,266-839-8757,(704)2093610,VANCE.HELGREN@YASE.GOV,USA,,USA,4042896927,D,NV6FLWR,B21,5LQLRWP29S,QZHFLWHL9W,XIAV08YW,,,7XK6X0P1L,B8S5NB,DZM6NC1083,2LCF2FBB,Salesforce.com,4853 BITTERROOT RD,OFFICE # 475,South Bend,VT,69055,TCD,JACKIE SARDEN@Salesforce.com.EDU,(636)6592015,JACKIE SARDEN,AW,FPO,ORD,VANCE_HELGREN_GS68WX.eft,,JQYFV,11/26/2003,11/26/2004,PHR,Yellow,Terminal 2,False,False,True,False,False,True,S,Employer Direction
DUDLEY,RUEBEN,HANTON,,FREDDIE,,TIBERI,,03/21/1932,USA,MD,Abilene,,U,B,299787325,PNK,GRN,59,263,7899 BLACK HORSE HIGHWAY,APARTMENT # 74,Huntsville,UT,56955-5634,MUS,(780)8494879,(419)8721502,6974577838,911-374-5110,278-942-9221,DUDLEY.HANTON@XDDA.COM,ZAF,,USA,8667045649,P,,,PUDR88I3YT,,,A255966714,41527137565,,,,,Rockwell Automation,3819 BIDWELL RD,,Thousand Oaks,IL,90607-8902,MEX,SHERWOOD BOGG@Rockwell Automation.CO.UK,921-454-5383,SHERWOOD BOGG,GA,TFS-PFP,YQX,,FAKE874516,,,,,,,,,,,,,,
MARTI,,LOVVORN,,TAMALA,VERONICA,LUBBS,,11/22/1994,USA,NM,Longmont,,F,U,379111059,XXX,MUL,104,504,2914 OLD GREY,APT 321,Naugatuck,NV,94539-6883,LTU,(977)3548229,(632)4025619,209-910-4018,(520)7569694,(647)8673628,MARTI.LOVVORN1994@DTIX.COM,USA,,USA,4605764859,M,,,A9MB0FDU1Q,,,,,,,,,Johnson Controls,3212 TRASK HWY,,Hobbs,WV,29520-6217,PRI,NOE VALEK@Johnson Controls.EDU,(494)9693222,NOE VALEK,GA,TFS-FP,YOC,,,,,,,,,,,,,,,,
LUIS,,ZIELINSKI,,MILES,PHILLIP,ANTONIS,,04/21/1998,USA,ME,Twentynine Palms,,U,W,609591141,BLU,PNK,90,687,6197 MATTEO RD,APT # 217,Westminster,VT,63913,TTO,227-818-5412,(596)9283618,(555)7215364,8522551479,4876373661,LUIS.ZIELINSKI1998@UDRL.ORG,USA,,USA,4878060099,P,,,1MHPFZ6CIU,,,,,,,,,British European,3700 URBANCREST WAY,,Kokomo,VT,87603,MLT,FIDEL BETTERIDGE@British European.EDU,(692)2014398,FIDEL BETTERIDGE,ACP,FPO,YBX,LUIS_ZIELINSKI_ML6V89.eft,,KVSXN,07/24/2005,07/24/2006,BXO,Security,Concourse B,True,False,False,False,True,True,I,Leave of Absence
GALE,,SAKUMA,,FLOYD,RUSS,PEEDEN,,03/26/2004,USA,MO,Findlay,,M,U,261442765,PLE,BLK,78,1374,7007 WATERSHED,,Culver,MT,68522-6148,PRY,(727)8255707,(969)8602742,2703696081,(926)2561326,6899172108,GALE.SAKUMA@YGAF.NET,USA,,USA,9434699632,P,,,7QU1TU7K4K,,,,,,,,,BWIA West Indies Airways Ltd,6842 CASTLEHILL ROAD,,Rochester,ID,52708-4728,ARG,MOHAMMED GRANADO@BWIA West Indies Airways Ltd.CO.UK,665-988-5305,MOHAMMED GRANADO,AW,FPO,ELD,GALE_SAKUMA_X0M0CE.eft,,UTHLW,06/27/2009,06/27/2010,VAH,Red,Concourse B,True,True,False,True,False,True,P,
LEON,LAWRENCE,NINOS,V,JOEY,,ESTES,III,11/23/1901,USA,MO,Bartlett,,M,W,616405877,PLE,MUL,102,132,271 GARLOCK PLACE,OFFICE # 367,Champaign,VT,33735,VGB,7222264163,939-445-6461,(351)4458735,951-917-2090,362-867-7529,LEON.NINOS@KQJK.ORG,USA,,MAC,8388109795,D,F2V7ZDY,SE-2,Y40CTQT1TM,7JXGIGJF08,LY0TA351,,,9WGIY2N2H,EMEB5B,PYRI3ANFPG,9WRX0OWP,Kone,8093 BELMONT EXECUTIVE HWY,,Reading,FL,50148,SWZ,AMBROSE SANSING@Kone.GOV,9652872611,AMBROSE SANSING,GA,DCM-FP,OKC,,,,,,,,,,,,,,,,
EASTER,PETER,GIDDENS,,CODY,,TYSOR,II,07/21/1954,USA,LA,Philadelphia,,F,U,367348745,GRN,BRO,53,385,9238 NEEDLEPINE BLVD,SUITE # 291,Oak Lawn,NY,34348-6518,PLW,(293)5793416,486-796-4141,(875)7097353,498-680-9976,834-458-5901,EASTER.GIDDENS1954@QMWY.EDU,USA,,USA,6517631747,M,,,KDWTYDYNJD,,,,,,,,,Turkish Airlines,557 PETWORTH PL,APT # 47,Plymouth,CT,77590-6677,JPN,LLOYD KAATZ@Turkish Airlines.COM,315-533-4630,LLOYD KAATZ,ACP,FPO,HCR,EASTER_GIDDENS_EG4APW.eft,,,,,,,,,,,,,,,
AVERY,MOSE,CASSELL,,JAY,,GRAMM,,07/27/1961,USA,WY,Cerritos,,U,I,611752983,XXX,HAZ,77,303,2635 CONIFER BLVD,SUITE 367,Plainfield,KY,68673,FLK,736-303-7396,644-212-2294,682-993-8959,2916425629,703-753-3963,AVERY.CASSELL1961@ASGS.NET,USA,,USA,2827539908,D,,,K8HPSXR0E4,,,,,,,,,Southwest Airlines,2162 NIGHTSHADE,,Lake Charles,IL,45466-3814,MMR,PARIS LACH@Southwest Airlines.CO.UK,(237)2701322,PARIS LACH,ACP,FPO,SAV,AVERY_CASSELL_LG1MDA.eft,,T7Q4O,10/27/2001,10/27/2002,OOZ,Yellow,Food Court,False,True,True,True,True,True,S,Employer Direction
RAFAEL,EFRAIN,CROSNO,,ROMEO,,BURTMAN,,06/24/1941,USA,WY,Wauwatosa,,M,I,299199726,WHI,HAZ,90,1204,7153 ABBEYFIELDS ROAD,OFFICE 301,Huber Heights,GA,35365-6785,CPV,447-757-5813,459-245-4006,899-697-4146,232-207-2016,(505)6636639,RAFAEL.CROSNO1941@KFMC.ORG,USA,,USA,9069644698,P,TGVI27E,DV-1,EWKRYM2CNO,XY3IJ9QQQU,58ERJFBQ,,,GFJW739JO,DWAND1,GKEPZV42NQ,BVAACAZJ,Sany Heavy Industry,4355 RAYMOND HIGHWAY,APT # 400,White Plains,IL,71070-4245,CCK,RUSSELL MAKUCH@Sany Heavy Industry.GOV,(527)8198068,RUSSELL MAKUCH,ACP,FPO,KPN,RAFAEL_CROSNO_A90RKQ.eft,,Y8ETT,04/22/2010,04/22/2011,VCJ,Red,Terminal 1,True,False,False,True,False,False,P,
JULES,,PAI,,DOMINIC,GENE,MAHALL,,07/21/1946,USA,LA,Evanston,Smyrna county,U,W,344660808,BRO,BLK,37,1189,4253 TRENMAR,APT # 442,New Orleans,MD,74508-6018,MAR,5347351138,3115106544,(597)9819489,605-499-2044,297-975-5439,JULES.PAI@LSJX.NET,USA,05/21/1994,USA,7958167082,D,PMT8LM6,U-1,MKULZOH32J,1SQ085TZQE,RXE7ESWX,,,61CBE4ZD4,V14U5A,0OJQAK7TZS,VP154OFM,Trans States Airlines,1934 LAKEVIEW OVERLOOK PLACE,APARTMENT 309,Cary,TN,79640,SLB,TRENTON FOGLIA@Trans States Airlines.COM,(500)9172175,TRENTON FOGLIA,AW,FPO,YKQ,JULES_PAI_FN4RZ2.eft,,8P6OF,02/23/2002,02/23/2003,QBJ,Contractor,Baggage Handling,True,True,False,False,False,True,NI,Hiring Decision
MARVIN,,SHOFFSTALL,,TRINIDAD,NORMAN,AJOKU,,03/27/1948,USA,HI,Concord,Columbus county,M,W,544613873,BLN,BRO,52,1103,9701 LAUREL RIDGE HIGHWAY,SUITE # 74,Dublin,WY,39624,VCT,(962)9783165,(222)3083057,910-479-2453,808-267-9147,(586)3926627,MARVIN.SHOFFSTALL1948@DOVR.ORG,USA,,USA,3277077911,M,,,N8G5YUDF9H,,,,,,,,,Atlantic Airlines,9700 LAUREL LEAF RD,,Winter Springs,GA,42470-5870,TUV,ADOLFO QUASTAD@Atlantic Airlines.COM,(732)9015097,ADOLFO QUASTAD,AW,FPO,STS,MARVIN_SHOFFSTALL_I3FXMI.eft,,,,,,,,,,,,,,,
NORRIS,,SARLO,,JOSEF,DUSTY,LICARI,I,02/22/1972,USA,TN,Orange,Hoboken county,M,I,320991995,BLN,PNK,54,310,68 SYCOLIN ST,ROOM 444,Menlo Park,MA,27269-6451,CAF,3654075460,(709)7623445,992-238-4544,769-746-7201,(918)8280521,NORRIS.SARLO@IAED.CO.UK,USA,,USA,2525416446,M,,,YDAJJGJK6W,,,,,,,,,Johnson Controls,1424 CENTER POINT BLVD,,Caldwell,ME,48147,SVK,JASON BUSICK@Johnson Controls.COM,8792222871,JASON BUSICK,ACP,FPO,CWA,NORRIS_SARLO_KMGVCB.eft,,L8RG8,11/27/2005,11/27/2006,AGT,Red,Concourse B,True,True,True,True,False,True,S,Employer Direction
SHAREE,MALIA,NEITHERCUTT,,NICOLE,,MASSAGLIA,,09/22/1912,AFG,,,,F,U,460557231,GRN,MAR,56,1049,1127 LA PALOMA BLVD,SUITE 186,Cheyenne,VT,43969,MYT,626-296-5995,4503151173,674-849-3695,900-720-3117,853-680-6741,SHAREE.NEITHERCUTT1912@ADLE.NET,USA,,MAC,6044059111,M,33N4PG0,BX2,EOD8KMSZ1N,26EXUC6KME,9BUK4C15,,,SDTN1V2KR,KY7BU9,IS2XRLCH0U,4Q7QJBLA,Air Sahara,4017 CEDAR HEIGHTS PLACE,APARTMENT 55,Kettering,HI,94641,MNP,RALPH CHELTON@Air Sahara.ORG,740-581-8430,RALPH CHELTON,AW,FPO,PFN,SHAREE_NEITHERCUTT_167GEJ.eft,,854FT,08/23/2009,08/23/2010,XLD,Red,Baggage Handling,False,True,False,False,False,True,S,Employer Direction
ROLLAND,,MCALMOND,,DARWIN,,ARIE,VII,10/23/1984,USA,DE,Pine Bluff,Greenville county,U,B,311842149,ONG,XXX,26,415,2283 UPLAND,ROOM # 210,Boca Raton,AZ,36777-3609,TUV,555-841-8634,8298520962,(784)9499456,(783)9668149,542-575-5978,ROLLAND.MCALMOND1984@VIUW.CO.UK,SWE,,ASM,8695236793,M,WRT1YAG,F25,MOA3U3UUXC,2WYCXW03H2,TVTVCOWF,A218915610,59357041258,OUT1DGZKT,4HK7QZ,U6ARMBIP6G,FZPZ43JG,British European,6466 PREMIER BLVD,SUITE # 378,Weslaco,NV,53727,LKA,NEWTON CHATLOS@British European.NET,(263)8694011,NEWTON CHATLOS,AW,FPO,LMT,ROLLAND_MCALMOND_EIEXPT.eft,,GVSQC,07/22/2001,07/22/2002,HEF,Contractor,Baggage Handling,False,True,False,False,True,False,I,Leave of Absence
PRESTON,,FAJEN,,DUNCAN,,RHOADS,,03/21/1902,USA,OH,Danville,,M,U,530227994,BLN,MUL,91,1038,7365 BROOKTON,,West Palm Beach,CT,76713,PRK,(840)9664791,641-756-7753,543-968-4833,(737)4805812,726-345-7056,PRESTON.FAJEN@HRUX.GOV,FRA,,USA,2240496707,M,,,LUOBGI0R86,,,A317997491,96084112339,,,,,Pacific Wings,1867 BOWFONDS STREET,APT 361,Bangor,MD,48388-9217,FRO,GAIL BELCASTRO@Pacific Wings.EDU,4434116987,GAIL BELCASTRO,AW,FPO,CMI,PRESTON_FAJEN_NZZXCO.eft,,FCPGI,10/26/2005,10/26/2006,XGY,Red,Ticketting,True,False,True,True,False,False,S,Employer Direction
TRENT,,ESSEPIAN,,SONNY,,VILKOSKI,,02/25/1923,GNB,,,,M,A,286486842,ONG,MAR,28,512,7452 HILLARY STREET,ROOM 429,Yuba,NJ,59134-6678,BHR,8218503819,426-475-5048,986-595-9001,5978163943,6995468399,TRENT.ESSEPIAN@BSXT.EDU,WSM,,FSM,4926441967,M,Q4XEBQ0,Q-2,EBUY0QXION,MIM7C4FP85,04HWJ9GX,A682275904,20253659896,FB86FPJQ7,L0C7YI,EBX9D0P97B,VWP05E9S,Sany Heavy Industry,2480 ZUKNICK WAY,,Bethel Park,ND,37788-5305,BHS,LINDSAY BOCKER@Sany Heavy Industry.EDU,866-628-9894,LINDSAY BOCKER,ACP,FPO,GGW,TRENT_ESSEPIAN_0RMUCF.eft,,WVRBE,04/22/2010,04/22/2011,DWV,Red,Baggage Handling,True,False,False,False,True,True,I,Leave of Absence
LARRY,MARIA,ANNO,,GRANVILLE,REID,AVONA,,07/25/1933,BEL,,,,M,I,206115332,BLU,MUL,80,1337,5076 MEADOWLARK PL,,Monterey,MT,37326,IDN,6287066288,(939)6832893,918-297-5774,(333)8603666,607-986-6501,LARRY.ANNO1933@ADAZ.GOV,USA,07/23/1999,USA,8248021852,M,7JRGIT8,V-2,TNHYRGWTLQ,78HBWNMWXV,X9W85WUZ,,,X8N54N8W3,PIDAFQ,3OSIA0952W,UEREBJF0,Terumo,5918 KALMAN ROAD,,Haverhill,UT,45748-5770,SCG,BUDDY RAFF@Terumo.NET,5874720510,BUDDY RAFF,ACP,FPO,LYU,LARRY_ANNO_88OU9J.eft,,O6PGV,08/21/2008,08/21/2009,VGG,Blue,Terminal 1,True,True,True,False,True,True,I,Leave of Absence
ADOLFO,,GROCH,,GLENN,MILES,CHAMBERLIN,,07/25/1985,USA,SD,Paramount,,U,U,379733945,BLK,MAR,83,136,6283 WILDBROOK ST,,Lake Elsinore,WI,56660,TCD,(280)5068804,8507359351,5102475999,2176648575,3367462578,ADOLFO.GROCH1985@QTDC.GOV,USA,,USA,2011285081,M,,,EXYYQAJ65K,,,,,,,,,Skywest Airlines,2983 DRAGONS GREEN HIGHWAY,,Newport Beach,ND,96498-5515,UKR,QUENTIN VASQUEZ@Skywest Airlines.GOV,730-912-7228,QUENTIN VASQUEZ,AW,FPO,TTN,ADOLFO_GROCH_Z9HC71.eft,,YZGHY,05/22/2007,05/22/2008,ZQH,Security,Concourse A,False,False,False,True,False,True,R,Termination
STACEY,,PONTES,I,CHESTER,,MOTTER,,04/24/1987,USA,NM,Skokie,,M,U,208634364,BLK,MAR,25,661,9842 MEDEA CREEK PL,OFFICE # 459,Rockville,IN,38126,LBN,8663810883,361-834-4721,4132761770,627-646-3145,(234)4594975,STACEY.PONTES@DTGX.COM,USA,,COK,5109144592,P,WJ3Y7UP,E-2,RI9PD2STJS,47U3BSZED3,6A4JRJ0P,,,TN29XDXA2,K4BGMC,UL565G4ABF,5M5HGWZ8,Smarte Carte,6143 WISCONSIN RD,APARTMENT # 283,Stockton,CO,67194,UMI,MARTIN GOMZALEZ@Smarte Carte.COM,3869246899,MARTIN GOMZALEZ,GA,PCS-PFP,YSM,,FAKE479936,,,,,,,,,,,,,,
CELINDA,,KIRSCHT,,INOCENCIA,DESIREE,VINSEL,,09/27/1958,GEO,,,,F,W,393198884,WHI,HAZ,30,1045,9877 BACKLOT,,Plainfield,LA,84128-6338,LIE,888-623-3799,8818687703,580-372-9414,(697)7378955,(622)6163848,CELINDA.KIRSCHT1958@DXFV.EDU,USA,,USA,7211139626,P,,,UWXIYA262E,,,,,,,,,Delta Airlines,2695 SOUTHWIND RD,,Washington,WA,55395,CXR,ROMEO KONDRATOWICZ@Delta Airlines.ORG,(548)6560701,ROMEO KONDRATOWICZ,AW,FPO,GGG,CELINDA_KIRSCHT_MLZ3O0.eft,,GRKY7,07/27/2000,07/27/2001,SBX,Contractor,Tarmac,True,True,True,False,True,False,P,
BUCK,DALE,MERCY,,FERDINAND,,CHAVIES,II,08/21/1926,SYC,,,,U,W,355688794,WHI,BLU,24,1108,8314 BANDON DUNES WAY,,Bristol,WI,68111,JAM,(365)2366381,670-465-2724,9029995247,8863285560,9952240156,BUCK.MERCY1926@CNYS.EDU,USA,02/24/1936,USA,7810573325,D,DU22FDD,EW4,QHUIU1FMZW,EM3ACTSDVL,03H93Z7V,,,JKT7HKAQZ,T1C319,MH38QWCTZX,KZV1XW8N,Schlumberger,7933 LIVONIA,,Palm Bay,KY,91209-4206,SWZ,PETE SUTTERFIELD@Schlumberger.EDU,(830)6697228,PETE SUTTERFIELD,GA,PCS-PFP,GGW,,FAKE302986,,,,,,,,,,,,,,
